HolderAddress,Balance
0x48e7fb58a969a99383725c1a8c1c85a947dbc2fb,2487
0x6f543ed82af94dcc295e06cbc6a14e07b54255d6,2383
0xf61c3241491145aabcc3889767537154ec516642,2275
0x2fc69a9bb63af6d411f3ddaa588a1e1283b3d21e,2259
0x3cbafb4d89650e521fd440b12d0871af4935dc1f,2258.9
0x663da44eaf27b51fa054545601329e66413e64e9,2057
0x016920cc3fe11534626e2a380027077e08c772fe,2048.82234998058
0x571bf59c1454dbd40dadd427ec9b01705f3a6d01,1980
0x9f56c5b24419c2e0e6cf812afc3ba2defc9adbae,1936
0x1436615ba906a449ac01d8d68ebef47b2aed798f,1878
0xe9709e420fb7dc3ac75a67eb0c8dc7d177257948,1867
0x109f47982f4a21037108820875c91bd95c6b004d,1849.15790677272
0xd029cc8ac55da0ad4ff8d85135f747b096e8a5fd,1782.25721106325
0x81f83e88873a8adbdacaa8f2fc4c5816e7034326,1746
0x92a98d9ef94fffc39a570ab831b21624876bef34,1746
0x83ecb9501ea535c286053a6e54c3e56621c3406e,1744
0x7786126e5e953ddab491bcef27482eb3365a0708,1742
0x8ff0ac73608c36aead78e2997df06c9c5508f56f,1735
0xa19a466fddbe5d5524328dc895811e1409e29954,1700
0xa220f8d122e45e3c255a0591a77ba5ef022a0052,1680
0xe1cd2295bce9dbe46f42e202d834503e707cf536,1675
0x5a01bdaa010938eb7615c63cb22cf3e94e8505df,1542
0x54636e63c5a0fd516761a2cb1e5b80a0ea353b5f,1423.70920145062
0x5e4f88de9e8a5b68315222ee9f46daece6f23072,1405
0xc14df10d6f77d8ac4dfc992e04d74625b1326a6f,1381
0x61e74150f7e7582dbddb6784c56737dfeb098b6b,1340
0x4ee2f6e270524fc91d4cf56be30d2862b10a701c,1315
0x02faecaee8015286efc9282d2c3e68543c32910f,1308.65706550575
0x6fce8832d213e99fb48de86e9db8f73195c5827d,1289
0xc7b4c22c0911af438324c8445a909897dc638207,1287
0x0b96c53cc980a91b489a9c6b4417ed6bc10244ea,1268.86365169608
0x95cfd1bdb0cf27d739ebd76b92b5637b32c4431f,1243
0xc6a4fce15bd4c14f8d6ecf3ad4e20e39021897e8,1230
0x4c55763079156c50ad5da261fb32b61524f65c06,1213
0xf4c2c9258cc3760d3488b21833d6c9dce86efb85,1211.3955151878
0x0f1465d3b58f00fc17456236b0f5a79d68cc6bc3,1210
0x55aeeb8dbce82e79186d375926cbe93dd11116f7,1204
0x2cb4cf3ef0c8f1b817baf86b3beb2ac83cef76a1,1194
0xedb44126b2c58890273977e6efdc2c731f480452,1086.93456164554
0xa449acdc23d418c0d8b8801fdd3546d1fd0bbdb8,1075
0x302cbcb385bc263d7ce6805235dca7429d05c9b5,1071
0xe4bdcf89b50540c3f444b241bd9d47bfb8ecabc1,1055
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,1020
0x89cf5cbddae85c8423715a4bfa18d6b3c2281908,1017
0x0205207b67c5571060febbae02e80bd1aef3f1bb,1006
0x0e563d84e8c0beae7301e2459fcb55241f3ebfc2,961.957847925435
0x73c8de9c8cbd521966544a52a3084a1cfd9559be,924
0xef3ebc828a725e3f3b27630afb256452424bf3d1,919
0xe50e0859d4d5400946d02aa5d9c19af1064f893a,910
0x0044eb2467c6835672df664c6a32c49dbdf08e7e,879
0xd40acef7ae9ef7c3d3e0c4d77a65d407ad085311,871
0xf285603734ab182f1b2fc1a978482eacaecee82f,833.067568404228
0xa3898f19a5fca401e7eacc66d1180f00aed6d2af,806
0x698f7be401c4f7c3f0ee571a558be3b63b1a480b,806
0x4a3615ca3cca3baee2d9320378fc2104532fbb96,800
0xca226bd9c754f1283123d32b2a7cf62a722f8ada,787.889491935766
0x1691952bc915c5a9022dd9275edde223b7628b52,708
0x029fdbb811720d786cd8aa8ad8ff80c03a03dbf9,700.137809212661
0x0a81a3ad1fc7e0da89284635604f87fcfd5e8ce2,694.164229608193
0xc2cb70de5e7bd0bba06e72b4098414cb8d09ea7e,636
0x520d6fcabb4d7ea9f5d30526f1e0461ae9fa6829,626
0x63f8ea52e6a65097ea528a0b2250f3a143f8eef0,582
0x9644e675245249347701bf36ee55cdbad99b8c0c,579
0x6e37c8f603582ce03de8e9cc5da9de25bbd82b17,508
0x655e5b3baf2e8042bec4898043d52eb54514f19a,500
0x472a77ad6e72e29077b508b4704d48e054003ee9,478.843205574913
0x78d8a429990d4c25db3a9d42edb1f58582e625eb,478
0xb2f9495285b5d9003421a9f799ac66e5b88162e3,476
0xa410a1b7af47b257aa977f582ce12255eea95126,474.469605697826
0x3b2eea926b9495681e9862a4db23ef088b5ef3cc,474
0x1b6fd3bc978e2c4948b536c08672604fe10c1c22,464
0xad01c20d5886137e056775af56915de824c8fce5,463.524535070708
0x5190efc20e1ac0d4b5ece5f6e8d5529925557c90,435
0xfd7bf41ae39b79cc525c5bf1257ce6e91610196f,434
0xa733dc9e1c65548e15a4461b2fbb48adc1cf09c0,407
0x7afa9d836d2fccf172b66622625e56404e465dbd,391.811685576939
0x1945bf22bd705d7bc50777cfb85a78908ddc76e6,387
0x98fa6f147dfae815921ac3551496da89bfae5251,331
0xd943a06dc92b5d2645e17b89bac635fbef9667ad,331
0x5b2d24c4cbae1c1c8339c94b6a4f6283d7fe9d88,321
0x0af68ba412f638ddfff23c3bbb4f8a0dcdf61067,307
0xe4ef7902364b2c7e4055042bc300a920b3918a2a,301
0x878751bed05549d76de66480edaeb563acbff361,298.654423980314
0x02d071a85783184d093c12920614ffefd55c50a6,293
0xc68fda89ed51b43cf2a9a07fc6a5aa072e42a63b,291.892373518986
0xbc9a0ce8bd943784bfa19194fba542f0e621696d,289
0x4efc6deb3a07df1d6968df2613f3966b24b80523,277.871846613085
